fold,accuracy,balanced_accuracy,macro_f1,macro_recall,macro_precision
0,0.7942386831275721,0.791905106022753,0.7781755280863006,0.791905106022753,0.7735397904100912
1,0.8565217391304348,0.8070202823492297,0.818554730514615,0.8070202823492297,0.8570075757575758
2,0.8421052631578947,0.8424688732479967,0.8408955982446623,0.8424688732479967,0.8449413280517931
3,0.8733624454148472,0.857792695000078,0.8596922008380818,0.857792695000078,0.865035928604588
4,0.8764044943820225,0.840832415934664,0.8366775862887528,0.840832415934664,0.8348919808824516
